000000000000d02f input
000000000000a956 energy_saving
00000000000010ef KEY_POWER
0000000000000ff0 tvradio
0000000000000cf3 av_mode
0000000000008877 KEY_1
00000000000048b7 KEY_2
000000000000c837 KEY_3
00000000000028d7 KEY_4
000000000000a857 KEY_5
0000000000006897 KEY_6
000000000000e817 KEY_7
00000000000018e7 KEY_8
0000000000009867 KEY_9
00000000000008f7 KEY_0
000000000000ca35 KEY_LIST
00000000000058a7 qview
00000000000040bf KEY_VOLUMEUP
000000000000c03f KEY_VOLUMEDOWN
000000000000906f KEY_MUTE
00000000000000ff KEY_CHANNELUP
000000000000807f KEY_CHANNELDOWN
00000000000002fd KEY_UP
000000000000827d KEY_DOWN
000000000000e01f KEY_LEFT
000000000000609f KEY_RIGHT
00000000000022dd KEY_OK
000000000000c23d KEY_MENU
00000000000014eb KEY_EXIT
0000000000004eb1 KEY_RED
0000000000008e71 KEY_GREEN
000000000000c639 KEY_YELLOW
0000000000008679 KEY_BLUE
00000000000004fb KEY_TEXT
000000000000847b t.opt
0000000000009c63 KEY_SUBTITLE
0000000000007e81 simplink
000000000000a25d q.menu
00000000000055aa KEY_INFO
000000000000d52a KEY_INFO
0000000000007887 KEY_FAVORITES

